sequence,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,timestamp
0,58.85,17.47,34.56,-201.89,0,0,0, 01:45:01.663,1.55E+12
1,24.83,11.47,0.17,-196.31,0,0,0, 01:45:01.677,1.55E+12
2,-330.59,-263.56,-280.66,-389.15,0,0,0, 01:45:01.677,1.55E+12
3,-43.87,-56.24,-57.95,-235.66,0,0,0, 01:45:01.691,1.55E+12
4,100.96,77.05,81.92,-159.21,0,0,0, 01:45:01.691,1.55E+12
5,-241.39,-193.56,-208.92,-332.43,0,0,0, 01:45:01.692,1.55E+12
6,-197.14,-180.16,-194.35,-328.38,0,0,0, 01:45:01.692,1.55E+12
7,116.65,76.44,92.31,-155.55,0,0,0, 01:45:01.706,1.55E+12
8,-138.9,-98.05,-119.51,-267.23,0,0,0, 01:45:01.706,1.55E+12
9,-279.48,-246.96,-262.57,-366.26,0,0,0, 01:45:01.721,1.55E+12
10,57.32,14.94,28.95,-189.65,0,0,0, 01:45:01.721,1.55E+12
11,18.23,11.37,9.91,-205.11,0,0,0, 01:45:01.723,1.55E+12
12,-318.55,-253.99,-276.43,-380.06,0,0,0, 01:45:01.723,1.55E+12
13,-59.23,-68.38,-49.95,-246.38,0,0,0, 01:45:01.751,1.55E+12
14,98.37,66.4,81.53,-158.09,0,0,0, 01:45:01.751,1.55E+12
15,-248.09,-198.72,-222,-353.01,0,0,0, 01:45:01.754,1.55E+12
16,-202,-182.28,-186.74,-327.93,0,0,0, 01:45:01.754,1.55E+12
17,118.9,80.13,103.52,-144.27,0,0,0, 01:45:01.755,1.55E+12
18,-135.37,-105.84,-119.62,-273.05,0,0,0, 01:45:01.755,1.55E+12
19,-271.83,-233.05,-253.83,-350.27,0,0,0, 01:45:01.768,1.55E+12
20,58.52,26.75,42.5,-168.54,0,0,0, 01:45:01.768,1.55E+12
21,9.67,20.39,23.61,-190.54,0,0,0, 01:45:01.781,1.55E+12
22,-316.85,-262.04,-276.44,-360.67,0,0,0, 01:45:01.781,1.55E+12
23,-40.21,-58.24,-59.15,-229.24,0,0,0, 01:45:01.784,1.55E+12
24,104.45,80.75,77.89,-139.86,0,0,0, 01:45:01.784,1.55E+12
25,-242.32,-186.06,-210.31,-309.5,0,0,0, 01:45:01.796,1.55E+12
26,-178.93,-167.77,-167.99,-301.22,0,0,0, 01:45:01.796,1.55E+12
27,122.42,83.44,91.48,-127.86,0,0,0, 01:45:01.811,1.55E+12
28,-128.96,-93.68,-109.7,-241.67,0,0,0, 01:45:01.811,1.55E+12
29,-279.17,-226.35,-249.26,-349.76,0,0,0, 01:45:01.813,1.55E+12
30,54.15,17.21,43.49,-176.53,0,0,0, 01:45:01.813,1.55E+12
31,20.2,13.6,8.09,-188.88,0,0,0, 01:45:01.826,1.55E+12
32,-311.88,-253.89,-284.15,-366.47,0,0,0, 01:45:01.826,1.55E+12
33,-39.92,-62.55,-44.95,-230.82,0,0,0, 01:45:01.841,1.55E+12
